,38 Provinsi,Februari,Agustus,Tahun
0,SUMATERA UTARA,8.01,7.43,2010
1,SUMATERA BARAT,7.57,6.95,2010
2,RIAU,7.21,8.72,2010
3,JAMBI,4.45,5.39,2010
4,SUMATERA SELATAN,6.55,6.65,2010
5,BENGKULU,4.06,4.59,2010
6,LAMPUNG,5.95,5.57,2010
7,KEP. BANGKA BELITUNG,4.24,5.63,2010
8,KEP. RIAU,7.21,6.9,2010
9,DKI JAKARTA,11.32,11.05,2010
10,JAWA BARAT,10.57,10.33,2010
11,JAWA TENGAH,6.86,6.21,2010
12,DI YOGYAKARTA,6.02,5.69,2010
13,JAWA TIMUR,4.91,4.25,2010
14,BANTEN,14.13,13.68,2010
15,BALI,3.57,3.06,2010
16,NUSA TENGGARA BARAT,5.78,5.29,2010
17,NUSA TENGGARA TIMUR,3.49,3.34,2010
18,KALIMANTAN BARAT,5.5,4.62,2010
19,KALIMANTAN TENGAH,3.88,4.14,2010
20,KALIMANTAN SELATAN,5.89,5.25,2010
21,KALIMANTAN TIMUR,10.45,10.1,2010
22,KALIMANTAN UTARA,4.766363636363637,4.784000000000001,2010
23,SULAWESI UTARA,10.48,9.61,2010
24,SULAWESI TENGAH,4.89,4.61,2010
25,SULAWESI SELATAN,7.99,8.37,2010
26,SULAWESI TENGGARA,4.77,4.61,2010
27,GORONTALO,5.05,5.16,2010
28,SULAWESI BARAT,4.1,3.25,2010
29,MALUKU,9.13,9.97,2010
30,MALUKU UTARA,6.03,6.03,2010
31,PAPUA BARAT,7.77,7.68,2010
32,PAPUA BARAT DAYA,6.3149999999999995,6.48,2010
33,PAPUA,4.08,3.55,2010
34,PAPUA SELATAN,4.825,4.05,2010
35,PAPUA TENGAH,3.02,2.75,2010
36,PAPUA PEGUNUNGAN,1.43,1.32,2010
37,INDONESIA,7.41,7.14,2010
38,SUMATERA UTARA,7.47,8.18,2011
39,SUMATERA BARAT,7.51,8.02,2011
40,RIAU,7.51,6.09,2011
41,JAMBI,3.98,4.63,2011
42,SUMATERA SELATAN,6.29,6.6,2011
43,BENGKULU,3.46,3.46,2011
44,LAMPUNG,5.52,6.38,2011
45,KEP. BANGKA BELITUNG,3.31,3.86,2011
46,KEP. RIAU,7.2,5.38,2011
47,DKI JAKARTA,10.86,11.69,2011
48,JAWA BARAT,10.01,9.96,2011
49,JAWA TENGAH,6.18,7.07,2011
50,DI YOGYAKARTA,5.54,4.39,2011
51,JAWA TIMUR,4.24,5.38,2011
52,BANTEN,13.62,13.74,2011
53,BALI,3.0,2.95,2011
54,NUSA TENGGARA BARAT,5.46,5.25,2011
55,NUSA TENGGARA TIMUR,2.76,3.11,2011
56,KALIMANTAN BARAT,5.23,4.6,2011
57,KALIMANTAN TENGAH,3.83,3.54,2011
58,KALIMANTAN SELATAN,5.74,6.29,2011
59,KALIMANTAN TIMUR,10.9,11.43,2011
60,KALIMANTAN UTARA,4.766363636363637,4.784000000000001,2011
61,SULAWESI UTARA,9.74,10.1,2011
62,SULAWESI TENGAH,4.31,6.78,2011
63,SULAWESI SELATAN,6.89,8.13,2011
64,SULAWESI TENGGARA,4.45,4.69,2011
65,GORONTALO,4.95,6.74,2011
66,SULAWESI BARAT,2.77,3.35,2011
67,MALUKU,8.18,10.81,2011
68,MALUKU UTARA,5.8,5.34,2011
69,PAPUA BARAT,6.82,6.73,2011
70,PAPUA BARAT DAYA,6.3149999999999995,6.48,2011
71,PAPUA,3.84,5.02,2011
72,PAPUA SELATAN,4.825,4.05,2011
73,PAPUA TENGAH,3.02,2.75,2011
74,PAPUA PEGUNUNGAN,1.43,1.32,2011
75,INDONESIA,6.96,7.48,2011
76,SUMATERA UTARA,6.43,6.28,2012
77,SUMATERA BARAT,6.49,6.65,2012
78,RIAU,5.29,4.37,2012
79,JAMBI,3.69,3.2,2012
80,SUMATERA SELATAN,5.6,5.66,2012
81,BENGKULU,2.18,3.62,2012
82,LAMPUNG,5.21,5.2,2012
83,KEP. BANGKA BELITUNG,2.82,3.43,2012
84,KEP. RIAU,5.71,5.08,2012
85,DKI JAKARTA,10.6,9.67,2012
86,JAWA BARAT,9.84,9.08,2012
87,JAWA TENGAH,5.9,5.61,2012
88,DI YOGYAKARTA,3.98,3.9,2012
89,JAWA TIMUR,4.16,4.11,2012
90,BANTEN,10.68,9.94,2012
91,BALI,2.23,2.1,2012
92,NUSA TENGGARA BARAT,5.23,5.23,2012
93,NUSA TENGGARA TIMUR,2.53,3.04,2012
94,KALIMANTAN BARAT,3.42,3.54,2012
95,KALIMANTAN TENGAH,2.73,3.14,2012
96,KALIMANTAN SELATAN,4.34,5.19,2012
97,KALIMANTAN TIMUR,9.48,9.02,2012
98,KALIMANTAN UTARA,4.766363636363637,4.784000000000001,2012
99,SULAWESI UTARA,8.55,7.98,2012
100,SULAWESI TENGAH,3.75,3.95,2012
101,SULAWESI SELATAN,6.56,6.01,2012
102,SULAWESI TENGGARA,3.2,4.14,2012
103,GORONTALO,4.92,4.47,2012
104,SULAWESI BARAT,2.1,2.16,2012
105,MALUKU,7.59,7.71,2012
106,MALUKU UTARA,5.5,4.82,2012
107,PAPUA BARAT,6.57,5.42,2012
108,PAPUA BARAT DAYA,6.3149999999999995,6.48,2012
109,PAPUA,3.03,3.71,2012
110,PAPUA SELATAN,4.825,4.05,2012
111,PAPUA TENGAH,3.02,2.75,2012
112,PAPUA PEGUNUNGAN,1.43,1.32,2012
113,INDONESIA,6.37,6.13,2012
114,SUMATERA UTARA,6.09,6.45,2013
115,SUMATERA BARAT,6.39,7.02,2013
116,RIAU,4.19,5.48,2013
117,JAMBI,2.89,4.76,2013
118,SUMATERA SELATAN,5.41,4.84,2013
119,BENGKULU,2.1,4.61,2013
120,LAMPUNG,5.07,5.69,2013
121,KEP. BANGKA BELITUNG,3.22,3.65,2013
122,KEP. RIAU,6.05,5.63,2013
123,DKI JAKARTA,9.64,8.63,2013
124,JAWA BARAT,8.88,9.16,2013
125,JAWA TENGAH,5.53,6.01,2013
126,DI YOGYAKARTA,3.75,3.24,2013
127,JAWA TIMUR,3.97,4.3,2013
128,BANTEN,9.77,9.54,2013
129,BALI,1.93,1.83,2013
130,NUSA TENGGARA BARAT,5.28,5.3,2013
131,NUSA TENGGARA TIMUR,2.12,3.25,2013
132,KALIMANTAN BARAT,3.13,3.99,2013
133,KALIMANTAN TENGAH,1.81,3.0,2013
134,KALIMANTAN SELATAN,3.88,3.66,2013
135,KALIMANTAN TIMUR,8.94,7.95,2013
136,KALIMANTAN UTARA,4.766363636363637,4.784000000000001,2013
137,SULAWESI UTARA,7.5,6.79,2013
138,SULAWESI TENGAH,2.67,4.19,2013
139,SULAWESI SELATAN,5.88,5.1,2013
140,SULAWESI TENGGARA,3.43,4.38,2013
141,GORONTALO,4.51,4.15,2013
142,SULAWESI BARAT,2.02,2.35,2013
143,MALUKU,6.97,9.91,2013
144,MALUKU UTARA,5.5,3.8,2013
145,PAPUA BARAT,4.36,4.4,2013
146,PAPUA BARAT DAYA,6.3149999999999995,6.48,2013
147,PAPUA,2.91,3.15,2013
148,PAPUA SELATAN,4.825,4.05,2013
149,PAPUA TENGAH,3.02,2.75,2013
150,PAPUA PEGUNUNGAN,1.43,1.32,2013
151,INDONESIA,5.88,6.17,2013
152,SUMATERA UTARA,5.95,6.23,2014
153,SUMATERA BARAT,6.32,6.5,2014
154,RIAU,4.99,6.56,2014
155,JAMBI,2.5,5.08,2014
156,SUMATERA SELATAN,3.84,4.96,2014
157,BENGKULU,1.62,3.47,2014
158,LAMPUNG,5.08,4.79,2014
159,KEP. BANGKA BELITUNG,2.67,5.14,2014
160,KEP. RIAU,5.26,6.69,2014
161,DKI JAKARTA,9.84,8.47,2014
162,JAWA BARAT,8.66,8.45,2014
163,JAWA TENGAH,5.45,5.68,2014
164,DI YOGYAKARTA,2.16,3.33,2014
165,JAWA TIMUR,4.02,4.19,2014
166,BANTEN,9.87,9.07,2014
167,BALI,1.37,1.9,2014
168,NUSA TENGGARA BARAT,5.3,5.75,2014
169,NUSA TENGGARA TIMUR,1.97,3.26,2014
170,KALIMANTAN BARAT,2.53,4.04,2014
171,KALIMANTAN TENGAH,2.71,3.24,2014
172,KALIMANTAN SELATAN,4.03,3.8,2014
173,KALIMANTAN TIMUR,8.89,7.38,2014
174,KALIMANTAN UTARA,4.766363636363637,4.784000000000001,2014
175,SULAWESI UTARA,7.27,7.54,2014
176,SULAWESI TENGAH,2.92,3.68,2014
177,SULAWESI SELATAN,5.79,5.08,2014
178,SULAWESI TENGGARA,2.13,4.43,2014
179,GORONTALO,2.44,4.18,2014
180,SULAWESI BARAT,1.6,2.08,2014
181,MALUKU,6.59,10.51,2014
182,MALUKU UTARA,5.65,5.29,2014
183,PAPUA BARAT,3.7,5.02,2014
184,PAPUA BARAT DAYA,6.3149999999999995,6.48,2014
185,PAPUA,3.48,3.44,2014
186,PAPUA SELATAN,4.825,4.05,2014
187,PAPUA TENGAH,3.02,2.75,2014
188,PAPUA PEGUNUNGAN,1.43,1.32,2014
189,INDONESIA,5.7,5.94,2014
190,SUMATERA UTARA,6.39,6.71,2015
191,SUMATERA BARAT,5.99,6.89,2015
192,RIAU,6.72,7.83,2015
193,JAMBI,2.73,4.34,2015
194,SUMATERA SELATAN,5.03,6.07,2015
195,BENGKULU,3.21,4.91,2015
196,LAMPUNG,3.44,5.14,2015
197,KEP. BANGKA BELITUNG,3.35,6.29,2015
198,KEP. RIAU,9.05,6.2,2015
199,DKI JAKARTA,8.36,7.23,2015
200,JAWA BARAT,8.4,8.72,2015
201,JAWA TENGAH,5.31,4.99,2015
202,DI YOGYAKARTA,4.07,4.07,2015
203,JAWA TIMUR,4.31,4.47,2015
204,BANTEN,8.58,9.55,2015
205,BALI,1.37,1.99,2015
206,NUSA TENGGARA BARAT,4.98,5.69,2015
207,NUSA TENGGARA TIMUR,3.12,3.83,2015
208,KALIMANTAN BARAT,4.78,5.15,2015
209,KALIMANTAN TENGAH,3.14,4.54,2015
210,KALIMANTAN SELATAN,4.83,4.92,2015
211,KALIMANTAN TIMUR,7.17,7.5,2015
212,KALIMANTAN UTARA,5.79,5.68,2015
213,SULAWESI UTARA,8.69,9.03,2015
214,SULAWESI TENGAH,2.99,4.1,2015
215,SULAWESI SELATAN,5.81,5.95,2015
216,SULAWESI TENGGARA,3.62,5.55,2015
217,GORONTALO,3.06,4.65,2015
218,SULAWESI BARAT,1.81,3.35,2015
219,MALUKU,6.72,9.93,2015
220,MALUKU UTARA,5.56,6.05,2015
221,PAPUA BARAT,4.61,8.08,2015
222,PAPUA BARAT DAYA,6.3149999999999995,6.48,2015
223,PAPUA,3.72,3.99,2015
224,PAPUA SELATAN,4.825,4.05,2015
225,PAPUA TENGAH,3.02,2.75,2015
226,PAPUA PEGUNUNGAN,1.43,1.32,2015
227,INDONESIA,5.81,6.18,2015
228,SUMATERA UTARA,6.49,5.84,2016
229,SUMATERA BARAT,5.81,5.09,2016
230,RIAU,5.94,7.43,2016
231,JAMBI,4.66,4.0,2016
232,SUMATERA SELATAN,3.94,4.31,2016
233,BENGKULU,3.84,3.3,2016
234,LAMPUNG,4.54,4.62,2016
235,KEP. BANGKA BELITUNG,6.17,2.6,2016
236,KEP. RIAU,9.03,7.69,2016
237,DKI JAKARTA,5.77,6.12,2016
238,JAWA BARAT,8.57,8.89,2016
239,JAWA TENGAH,4.2,4.63,2016
240,DI YOGYAKARTA,2.81,2.72,2016
241,JAWA TIMUR,4.14,4.21,2016
242,BANTEN,7.95,8.92,2016
243,BALI,2.12,1.89,2016
244,NUSA TENGGARA BARAT,3.66,3.94,2016
245,NUSA TENGGARA TIMUR,3.59,3.25,2016
246,KALIMANTAN BARAT,4.58,4.23,2016
247,KALIMANTAN TENGAH,3.67,4.82,2016
248,KALIMANTAN SELATAN,3.63,5.45,2016
249,KALIMANTAN TIMUR,8.86,7.95,2016
250,KALIMANTAN UTARA,3.92,5.23,2016
251,SULAWESI UTARA,7.82,6.18,2016
252,SULAWESI TENGAH,3.46,3.29,2016
253,SULAWESI SELATAN,5.11,4.8,2016
254,SULAWESI TENGGARA,3.78,2.72,2016
255,GORONTALO,3.88,2.76,2016
256,SULAWESI BARAT,2.72,3.33,2016
257,MALUKU,6.98,7.05,2016
258,MALUKU UTARA,3.43,4.01,2016
259,PAPUA BARAT,5.73,7.46,2016
260,PAPUA BARAT DAYA,6.3149999999999995,6.48,2016
261,PAPUA,2.97,3.35,2016
262,PAPUA SELATAN,4.825,4.05,2016
263,PAPUA TENGAH,3.02,2.75,2016
264,PAPUA PEGUNUNGAN,1.43,1.32,2016
265,INDONESIA,5.5,5.61,2016
266,SUMATERA UTARA,6.41,5.6,2017
267,SUMATERA BARAT,5.8,5.58,2017
268,RIAU,5.76,6.22,2017
269,JAMBI,3.67,3.87,2017
270,SUMATERA SELATAN,3.8,4.39,2017
271,BENGKULU,2.81,3.74,2017
272,LAMPUNG,4.43,4.33,2017
273,KEP. BANGKA BELITUNG,4.46,3.78,2017
274,KEP. RIAU,6.44,7.16,2017
275,DKI JAKARTA,5.36,7.14,2017
276,JAWA BARAT,8.49,8.22,2017
277,JAWA TENGAH,4.15,4.57,2017
278,DI YOGYAKARTA,2.84,3.02,2017
279,JAWA TIMUR,4.1,4.0,2017
280,BANTEN,7.75,9.28,2017
281,BALI,1.28,1.48,2017
282,NUSA TENGGARA BARAT,3.86,3.32,2017
283,NUSA TENGGARA TIMUR,3.21,3.27,2017
284,KALIMANTAN BARAT,4.22,4.36,2017
285,KALIMANTAN TENGAH,3.13,4.23,2017
286,KALIMANTAN SELATAN,3.53,4.77,2017
287,KALIMANTAN TIMUR,8.55,6.91,2017
288,KALIMANTAN UTARA,5.17,5.54,2017
289,SULAWESI UTARA,6.12,7.18,2017
290,SULAWESI TENGAH,2.97,3.81,2017
291,SULAWESI SELATAN,4.77,5.61,2017
292,SULAWESI TENGGARA,3.14,3.3,2017
293,GORONTALO,3.65,4.28,2017
294,SULAWESI BARAT,2.98,3.21,2017
295,MALUKU,7.77,9.29,2017
296,MALUKU UTARA,4.82,5.33,2017
297,PAPUA BARAT,7.52,6.49,2017
298,PAPUA BARAT DAYA,6.3149999999999995,6.48,2017
299,PAPUA,3.96,3.62,2017
300,PAPUA SELATAN,4.825,4.05,2017
301,PAPUA TENGAH,3.02,2.75,2017
302,PAPUA PEGUNUNGAN,1.43,1.32,2017
303,INDONESIA,5.33,5.5,2017
304,SUMATERA UTARA,5.61,5.55,2018
305,SUMATERA BARAT,5.68,5.66,2018
306,RIAU,5.55,5.98,2018
307,JAMBI,3.56,3.73,2018
