,Tahun,Inflation Percentage,Bulan
0,2025,1.03 %,Maret
1,2025,-0.09 %,Februari
2,2025,0.76 %,Januari
3,2024,1.57 %,Desember
4,2024,1.55 %,November
5,2024,1.71 %,Oktober
6,2024,1.84 %,September
7,2024,2.12 %,Agustus
8,2024,2.13 %,Juli
9,2024,2.51 %,Juni
10,2024,2.84 %,Mei
11,2024,3 %,April
12,2024,3.05 %,Maret
13,2024,2.75 %,Februari
14,2024,2.57 %,Januari
15,2023,2.61 %,Desember
16,2023,2.86 %,November
17,2023,2.56 %,Oktober
18,2023,2.28 %,September
19,2023,3.27 %,Agustus
20,2023,3.08 %,Juli
21,2023,3.52 %,Juni
22,2023,4 %,Mei
23,2023,4.33 %,April
24,2023,4.97 %,Maret
25,2023,5.47 %,Februari
26,2023,5.28 %,Januari
27,2022,5.51 %,Desember
28,2022,5.42 %,November
29,2022,5.71 %,Oktober
30,2022,5.95 %,September
31,2022,4.69 %,Agustus
32,2022,4.94 %,Juli
33,2022,4.35 %,Juni
34,2022,3.55 %,Mei
35,2022,3.47 %,April
36,2022,2.64 %,Maret
37,2022,2.06 %,Februari
38,2022,2.18 %,Januari
39,2021,1.87 %,Desember
40,2021,1.75 %,November
41,2021,1.66 %,Oktober
42,2021,1.6 %,September
43,2021,1.59 %,Agustus
44,2021,1.52 %,Juli
45,2021,1.33 %,Juni
46,2021,1.68 %,Mei
47,2021,1.42 %,April
48,2021,1.37 %,Maret
49,2021,1.38 %,Februari
50,2021,1.55 %,Januari
51,2020,1.68 %,Desember
52,2020,1.59 %,November
53,2020,1.44 %,Oktober
54,2020,1.42 %,September
55,2020,1.32 %,Agustus
56,2020,1.54 %,Juli
57,2020,1.96 %,Juni
58,2020,2.19 %,Mei
59,2020,2.67 %,April
60,2020,2.96 %,Maret
61,2020,2.98 %,Februari
62,2020,2.68 %,Januari
63,2019,2.72 %,Desember
64,2019,3 %,November
65,2019,3.13 %,Oktober
66,2019,3.39 %,September
67,2019,3.49 %,Agustus
68,2019,3.32 %,Juli
69,2019,3.28 %,Juni
70,2019,3.32 %,Mei
71,2019,2.83 %,April
72,2019,2.48 %,Maret
73,2019,2.57 %,Februari
74,2019,2.82 %,Januari
75,2018,3.13 %,Desember
76,2018,3.23 %,November
77,2018,3.16 %,Oktober
78,2018,2.88 %,September
79,2018,3.2 %,Agustus
80,2018,3.18 %,Juli
81,2018,3.12 %,Juni
82,2018,3.23 %,Mei
83,2018,3.41 %,April
84,2018,3.4 %,Maret
85,2018,3.18 %,Februari
86,2018,3.25 %,Januari
87,2017,3.61 %,Desember
88,2017,3.3 %,November
89,2017,3.58 %,Oktober
90,2017,3.72 %,September
91,2017,3.82 %,Agustus
92,2017,3.88 %,Juli
93,2017,4.37 %,Juni
94,2017,4.33 %,Mei
95,2017,4.17 %,April
96,2017,3.61 %,Maret
97,2017,3.83 %,Februari
98,2017,3.49 %,Januari
99,2016,3.02 %,Desember
100,2016,3.58 %,November
101,2016,3.31 %,Oktober
102,2016,3.07 %,September
103,2016,2.79 %,Agustus
104,2016,3.21 %,Juli
105,2016,3.45 %,Juni
106,2016,3.33 %,Mei
107,2016,3.6 %,April
108,2016,4.45 %,Maret
109,2016,4.42 %,Februari
110,2016,4.14 %,Januari
111,2015,3.35 %,Desember
112,2015,4.89 %,November
113,2015,6.25 %,Oktober
114,2015,6.83 %,September
115,2015,7.18 %,Agustus
116,2015,7.26 %,Juli
117,2015,7.26 %,Juni
118,2015,7.15 %,Mei
119,2015,6.79 %,April
120,2015,6.38 %,Maret
121,2015,6.29 %,Februari
122,2015,6.96 %,Januari
123,2014,8.36 %,Desember
124,2014,6.23 %,November
125,2014,4.83 %,Oktober
126,2014,4.53 %,September
127,2014,3.99 %,Agustus
128,2014,4.53 %,Juli
129,2014,6.7 %,Juni
130,2014,7.32 %,Mei
131,2014,7.25 %,April
132,2014,7.32 %,Maret
133,2014,7.75 %,Februari
134,2014,8.22 %,Januari
135,2013,8.38 %,Desember
136,2013,8.37 %,November
137,2013,8.32 %,Oktober
138,2013,8.4 %,September
139,2013,8.79 %,Agustus
140,2013,8.61 %,Juli
141,2013,5.9 %,Juni
142,2013,5.47 %,Mei
143,2013,5.57 %,April
144,2013,5.9 %,Maret
145,2013,5.31 %,Februari
146,2013,4.57 %,Januari
147,2012,4.3 %,Desember
148,2012,4.32 %,November
149,2012,4.61 %,Oktober
150,2012,4.31 %,September
151,2012,4.58 %,Agustus
152,2012,4.56 %,Juli
153,2012,4.53 %,Juni
154,2012,4.45 %,Mei
155,2012,4.5 %,April
156,2012,3.97 %,Maret
157,2012,3.56 %,Februari
158,2012,3.65 %,Januari
159,2011,3.79 %,Desember
160,2011,4.15 %,November
161,2011,4.42 %,Oktober
162,2011,4.61 %,September
163,2011,4.79 %,Agustus
164,2011,4.61 %,Juli
165,2011,5.54 %,Juni
166,2011,5.98 %,Mei
167,2011,6.16 %,April
168,2011,6.65 %,Maret
169,2011,6.84 %,Februari
170,2011,7.02 %,Januari
171,2010,6.96 %,Desember
172,2010,6.33 %,November
173,2010,5.67 %,Oktober
174,2010,5.8 %,September
175,2010,6.44 %,Agustus
176,2010,6.22 %,Juli
177,2010,5.05 %,Juni
178,2010,4.16 %,Mei
179,2010,3.91 %,April
180,2010,3.43 %,Maret
181,2010,3.81 %,Februari
182,2010,3.72 %,Januari
183,2009,2.78 %,Desember
184,2009,2.41 %,November
185,2009,2.57 %,Oktober
186,2009,2.83 %,September
187,2009,2.75 %,Agustus
188,2009,2.71 %,Juli
189,2009,3.65 %,Juni
190,2009,6.04 %,Mei
191,2009,7.31 %,April
192,2009,7.92 %,Maret
193,2009,8.6 %,Februari
194,2009,9.17 %,Januari
195,2008,11.06 %,Desember
196,2008,11.68 %,November
197,2008,11.77 %,Oktober
198,2008,12.14 %,September
199,2008,11.85 %,Agustus
200,2008,11.9 %,Juli
201,2008,11.03 %,Juni
202,2008,10.38 %,Mei
203,2008,8.96 %,April
204,2008,8.17 %,Maret
205,2008,7.4 %,Februari
206,2008,7.36 %,Januari
207,2007,6.59 %,Desember
208,2007,6.71 %,November
209,2007,6.88 %,Oktober
210,2007,6.95 %,September
211,2007,6.51 %,Agustus
212,2007,6.06 %,Juli
213,2007,5.77 %,Juni
214,2007,6.01 %,Mei
215,2007,6.29 %,April
216,2007,6.52 %,Maret
217,2007,6.3 %,Februari
218,2007,6.26 %,Januari
219,2006,6.6 %,Desember
220,2006,5.27 %,November
221,2006,6.29 %,Oktober
222,2006,14.55 %,September
223,2006,14.9 %,Agustus
224,2006,15.15 %,Juli
225,2006,15.53 %,Juni
226,2006,15.6 %,Mei
227,2006,15.4 %,April
228,2006,15.74 %,Maret
229,2006,17.92 %,Februari
230,2006,17.03 %,Januari
231,2005,17.11 %,Desember
232,2005,18.38 %,November
233,2005,17.89 %,Oktober
234,2005,9.06 %,September
235,2005,8.33 %,Agustus
236,2005,7.84 %,Juli
237,2005,7.42 %,Juni
238,2005,7.4 %,Mei
239,2005,8.12 %,April
240,2005,8.81 %,Maret
241,2005,7.15 %,Februari
242,2005,7.32 %,Januari
243,2004,6.4 %,Desember
244,2004,6.18 %,November
245,2004,6.22 %,Oktober
246,2004,6.27 %,September
247,2004,6.67 %,Agustus
248,2004,7.2 %,Juli
249,2004,6.83 %,Juni
250,2004,6.47 %,Mei
251,2004,5.92 %,April
252,2004,5.11 %,Maret
253,2004,4.6 %,Februari
254,2004,4.82 %,Januari
255,2003,5.16 %,Desember
256,2003,5.53 %,November
257,2003,6.48 %,Oktober
258,2003,6.33 %,September
259,2003,6.51 %,Agustus
260,2003,6.27 %,Juli
261,2003,6.98 %,Juni
262,2003,7.15 %,Mei
263,2003,7.62 %,April
264,2003,7.17 %,Maret
265,2003,7.6 %,Februari
266,2003,8.68 %,Januari
267,2002,0 %,Desember
