Golongan Umur,,,,,,
,Pengangguran Menurut Golongan Umur (Orang),,,,,
,Pernah Bekerja,,Tidak Pernah Bekerja,,Jumlah Pengangguran,
,2023,,2023,,2023,
,Februari,Agustus,Februari,Agustus,Februari,Agustus
15-19,152408,224622,971087,1408841,1123495,1633463
20-24,920768,1007303,1476368,1663172,2397136,2670475
25-29,710338,781541,503097,510814,1213435,1292355
30-34,573222,449519,188729,160449,761951,609968
35-39,502226,323113,168040,110371,670266,433484
40-44,528134,239595,151937,62072,680071,301667
45-49,450671,233812,161972,47530,612643,281342
50-54,161560,201285,26109,42999,187669,244284
55-59,126469,143011,23366,26257,149835,169268
60+,175172,185324,17602,33445,192774,218769
Total,4300968,3789125,3688307,4065950,7989275,7855075